model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	snapshot-agent	restore_agent_to_nsrestore	2026-05-06T18:04:39.895Z	2026-05-06T18:04:39.954Z	0.000	0.060	snapshot-agent	
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	snapshot-agent	agent_wait_after_nsrestore_for_gms	2026-05-06T18:04:45.237Z	2026-05-06T18:04:50.229Z	5.342	4.992	snapshot-agent + gms-loader	
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	worker/main	main_gms_remap	2026-05-06T18:04:50.328Z	2026-05-06T18:04:50.352Z	10.433	0.024	worker main log	
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	worker/main	registration_to_generate_endpoint	2026-05-06T18:04:50.374Z	2026-05-06T18:04:50.699Z	10.479	0.325	worker main log	
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	worker/main	generate_endpoint_to_metadata_snapshot	2026-05-06T18:04:50.699Z	2026-05-06T18:04:51.851Z	10.804	1.152	worker main log	
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	kube/discovery	pod_ready_to_metadata_snapshot	2026-05-06T18:04:51.000Z	2026-05-06T18:04:51.851Z	11.105	0.851	pod yaml + worker main log	
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	frontend/main	frontend_discovers_worker	2026-05-06T18:04:51.851Z	2026-05-06T18:04:51.851Z	11.956	0.000	worker/frontend logs	
gpt-oss-120b	openai/gpt-oss-120b	gms-defapi-preload2-gpt12-0506180226	frontend/main	first_inference	2026-05-06T18:04:57.523Z	2026-05-06T18:04:58.581Z	17.628	1.058	frontend log	
llama33-70b-fp8	RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic	gms-defapi-preload2-llama-0506180639	snapshot-agent	criu_restore	2026-05-06T18:09:12.385Z	2026-05-06T18:09:16.042Z	0.068	3.657	snapshot-agent nsrestore timing summary	
llama33-70b-fp8	RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic	gms-defapi-preload2-llama-0506180639	snapshot-agent	cuda_restore	2026-05-06T18:09:16.042Z	2026-05-06T18:09:16.716Z	3.726	0.674	snapshot-agent nsrestore timing summary	
llama33-70b-fp8	RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic	gms-defapi-preload2-llama-0506180639	worker/gms-server	k8s_pod_to_gms_server	2026-05-06T18:09:05.000Z	2026-05-06T18:09:06.000Z	-7.317	1.000	restore pod yaml	
llama33-70b-fp8	RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic	gms-defapi-preload2-llama-0506180639	worker/gms-loader	gms_loader_pod_to_container	2026-05-06T18:09:05.000Z	2026-05-06T18:09:09.000Z	-7.317	4.000	restore pod yaml	
llama33-70b-fp8	RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic	gms-defapi-preload2-llama-0506180639	orchestration/manual-trigger	manual_restore_trigger_patch	2026-05-06T18:09:11.238Z	2026-05-06T18:09:12.417Z	-1.079	1.179	benchmark harness	
llama33-70b-fp8	RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic	gms-defapi-preload2-llama-0506180639	worker/gms-loader	gms_load_wait_for_rw	2026-05-06T18:09:12.324Z	2026-05-06T18:09:12.340Z	0.007	0.016	gms-loader log	
